r_xy_mm,phi_deg,z_mm,order_idx,gen_settings
222,-167.9,-221,0,
245,-167.0,-205,1,
248,-166.1,-79,2,
232,-168.9,-63,3,
240,-169.0,10,4,
240,-165.9,26,5,
248,-167.2,152,6,
216,-167.7,168,7,
222,-162.5,207,8,
230,-160.1,202,9,
220,-159.5,119,10,
222,-163.0,114,11,
249,-164.3,64,12,
235,-158.3,59,13,
249,-161.3,-24,14,
241,-161.2,-29,15,
236,-158.4,-112,16,
235,-164.1,-117,17,
233,-163.1,-167,18,
243,-159.4,-172,19,
227,-154.6,-226,20,
242,-155.5,-201,21,
248,-150.7,-146,22,
213,-151.7,-138,23,
245,-156.5,-83,24,
228,-153.7,-58,25,
231,-153.5,5,26,
214,-156.6,30,27,
249,-151.9,85,28,
240,-150.6,93,29,
243,-155.3,148,30,
213,-154.8,173,31,
239,-150.1,228,32,
241,-152.4,236,33,
220,-147.7,181,34,
239,-147.1,140,35,
250,-142.9,127,36,
246,-144.2,51,37,
223,-145.9,39,38,
220,-148.9,-3,39,
211,-148.8,-50,40,
245,-146.0,-91,41,
249,-144.1,-104,42,
231,-143.1,-180,43,
244,-147.0,-193,44,
230,-147.8,-234,45,
232,-142.2,-247,46,
237,-135.4,-213,47,
237,-139.3,-159,48,
230,-138.3,-125,49,
218,-136.4,-71,50,
246,-141.3,-37,51,
239,-141.1,-16,52,
233,-136.5,18,53,
226,-138.2,72,54,
240,-139.5,106,55,
229,-135.3,160,56,
230,-142.4,194,57,
214,-140.0,215,58,
249,-130.0,215,59,
226,-127.6,194,60,
250,-134.7,160,61,
210,-130.5,106,62,
238,-131.8,72,63,
220,-133.5,18,64,
240,-128.9,-16,65,
221,-128.7,-37,66,
244,-133.6,-71,67,
249,-131.7,-125,68,
241,-130.7,-159,69,
239,-134.6,-213,70,
249,-127.8,-247,71,
213,-122.2,-234,72,
250,-123.0,-193,73,
239,-126.9,-180,74,
249,-125.9,-104,75,
238,-124.0,-91,76,
242,-121.2,-50,77,
214,-121.1,-3,78,
219,-124.1,39,79,
240,-125.8,51,80,
241,-127.1,127,81,
236,-122.9,140,82,
232,-122.3,181,83,
237,-117.6,236,84,
245,-119.9,228,85,
242,-115.2,173,86,
235,-114.7,148,87,
246,-119.4,93,88,
241,-118.1,85,89,
243,-113.4,30,90,
228,-116.5,5,91,
206,-116.3,-58,92,
232,-113.5,-83,93,
241,-118.3,-138,94,
248,-119.3,-146,95,
245,-114.5,-201,96,
226,-115.4,-226,97,
242,-110.6,-172,98,
243,-106.9,-167,99,
242,-105.9,-117,100,
214,-111.6,-112,101,
238,-108.8,-29,102,
219,-108.7,-24,103,
222,-111.7,59,104,
235,-105.7,64,105,
238,-107.0,114,106,
249,-110.5,119,107,
240,-109.9,202,108,
216,-107.5,207,109,
207,-99.9,241,110,
250,-102.3,168,111,
230,-102.8,152,112,
234,-98.1,98,113,
213,-99.3,80,114,
244,-104.1,26,115,
215,-101.0,10,116,
224,-101.1,-63,117,
245,-103.9,-79,118,
235,-99.2,-133,119,
244,-98.2,-151,120,
230,-103.0,-205,121,
217,-102.1,-221,122,
239,-95.3,-239,123,
240,-94.5,-188,124,
248,-90.6,-184,125,
243,-91.5,-99,126,
249,-93.5,-96,127,
241,-96.3,-45,128,
238,-96.4,-8,129,
238,-93.3,43,130,
236,-91.7,47,131,
240,-90.4,132,132,
220,-94.6,135,133,
234,-95.1,186,134,
249,-97.5,223,135,
246,-85.1,244,136,
232,-87.5,220,137,
228,-89.9,189,138,
228,-82.7,165,139,
234,-86.9,101,140,
231,-85.7,77,141,
221,-84.0,13,142,
249,-88.6,-11,143,
244,-88.8,-42,144,
220,-83.9,-66,145,
237,-85.8,-130,146,
219,-86.8,-154,147,
237,-82.9,-218,148,
250,-89.7,-242,149,
244,-82.1,-209,150,
226,-78.2,-164,151,
249,-79.1,-120,152,
244,-81.1,-75,153,
243,-76.2,-32,154,
235,-76.4,-21,155,
245,-80.9,22,156,
244,-79.3,67,157,
246,-78.0,111,158,
233,-82.2,156,159,
231,-75.1,199,160,
239,-77.5,210,161,
227,-69.8,176,162,
222,-70.3,144,163,
250,-74.5,122,164,
242,-73.3,56,165,
226,-71.6,34,166,
237,-68.5,2,167,
224,-68.7,-55,168,
250,-71.5,-87,169,
237,-73.4,-109,170,
221,-74.4,-175,171,
248,-70.5,-197,172,
228,-69.7,-229,173,
248,-62.8,-231,174,
214,-62.0,-196,175,
247,-65.8,-143,176,
236,-66.7,-141,177,
221,-61.0,-88,178,
236,-63.8,-53,179,
233,-64.0,0,180,
233,-60.9,35,181,
231,-66.9,88,182,
217,-65.6,90,183,
238,-62.1,143,184,
227,-62.7,178,185,
226,-65.1,231,186,
244,-67.4,233,187,
248,-55.0,212,188,
211,-57.4,197,189,
214,-58.0,124,190,
215,-54.5,109,191,
246,-53.2,69,192,
221,-59.2,55,193,
230,-56.1,-19,194,
242,-56.3,-34,195,
226,-59.1,-107,196,
223,-53.4,-122,197,
236,-54.3,-162,198,
237,-58.1,-176,199,
222,-49.6,-217,200,
239,-50.4,-210,201,
205,-45.7,-156,202,
238,-46.7,-128,203,
224,-51.4,-74,204,
232,-48.6,-67,205,
228,-48.5,14,206,
225,-51.6,21,207,
225,-46.8,75,208,
241,-45.6,103,209,
247,-50.3,157,210,
210,-49.7,164,211,
219,-47.4,245,212,
205,-45.0,218,213,
244,-42.6,191,214,
237,-37.9,136,215,
237,-42.1,130,216,
247,-40.8,48,217,
242,-39.2,42,218,
242,-43.9,-13,219,
248,-43.7,-40,220,
213,-39.0,-95,221,
248,-41.0,-101,222,
249,-41.9,-183,223,
220,-38.0,-189,224,
228,-42.8,-244,225,
224,-37.2,-237,226,
239,-30.4,-223,227,
244,-34.3,-149,228,
237,-33.3,-135,229,
235,-31.3,-61,230,
235,-36.2,-47,231,
245,-36.1,-6,232,
234,-31.5,8,233,
240,-33.2,82,234,
235,-34.4,96,235,
226,-30.2,170,236,
238,-37.3,184,237,
242,-35.0,225,238,
219,-32.6,239,239,
247,-24.9,205,240,
240,-22.6,204,241,
247,-29.7,151,242,
229,-25.5,116,243,
229,-26.8,63,244,
218,-28.4,27,245,
225,-23.8,-26,246,
207,-23.7,-27,247,
224,-28.6,-80,248,
237,-26.6,-116,249,
230,-25.6,-168,250,
221,-29.5,-204,251,
236,-17.1,-225,252,
208,-18.0,-202,253,
233,-21.9,-170,254,
234,-20.9,-114,255,
219,-18.9,-82,256,
232,-16.2,-59,257,
245,-16.0,6,258,
241,-19.1,29,259,
235,-20.8,61,260,
225,-22.0,117,261,
239,-17.8,149,262,
248,-17.3,172,263,
211,-14.9,237,264,
248,-12.5,226,265,
227,-10.2,183,266,
233,-9.6,138,267,
225,-13.1,95,268,
230,-14.4,83,269,
245,-8.4,40,270,
247,-11.4,-5,271,
235,-11.3,-48,272,
246,-8.5,-93,273,
248,-14.2,-136,274,
246,-13.2,-148,275,
239,-9.5,-191,276,
212,-10.3,-236,277,
222,-4.7,-245,278,
242,-5.6,-181,279,
213,-1.8,-157,280,
243,-0.8,-127,281,
216,-6.5,-103,282,
243,-3.8,-39,283,
208,-3.6,-14,284,
208,-6.7,50,285,
239,-0.7,74,286,
225,-2.0,104,287,
243,-5.4,128,288,
237,-4.9,193,289,
223,-2.5,217,290,
230,-0.1,247,291,
224,2.2,162,292,
235,2.8,159,293,
250,7.0,107,294,
230,5.7,71,295,
234,4.0,19,296,
206,1.0,16,297,
248,1.1,-69,298,
217,3.9,-72,299,
223,5.9,-124,300,
248,6.8,-160,301,
218,2.9,-212,302,
247,2.1,-215,303,
222,14.5,-194,304,
220,10.6,-178,305,
249,11.6,-106,306,
222,13.5,-90,307,
234,8.8,-35,308,
245,8.6,-18,309,
237,13.4,37,310,
231,11.7,53,311,
214,10.4,125,312,
236,14.6,141,313,
212,9.9,196,314,
240,7.5,213,315,
223,19.9,234,316,
247,17.6,229,317,
246,15.2,180,318,
206,22.3,175,319,
248,18.1,91,320,
242,19.4,87,321,
230,21.0,3,322,
215,16.4,-2,323,
248,16.3,-51,324,
214,21.2,-56,325,
226,19.2,-140,326,
246,18.3,-144,327,
229,22.2,-228,328,
237,15.3,-233,329,
206,23.0,-199,330,
247,26.9,-173,331,
239,25.9,-111,332,
205,24.0,-85,333,
220,28.7,-30,334,
222,28.8,-22,335,
217,24.1,32,336,
238,25.8,58,337,
232,27.0,120,338,
215,22.8,146,339,
218,27.6,201,340,
219,30.0,209,341,
219,35.2,167,342,
226,34.7,154,343,
245,30.5,112,344,
246,31.8,66,345,
242,33.4,24,346,
249,36.5,11,347,
241,36.4,-64,348,
222,33.6,-77,349,
245,31.6,-119,350,
248,30.7,-165,351,
238,34.5,-207,352,
227,35.4,-220,353,
231,42.2,-241,354,
235,43.1,-186,355,
235,39.3,-152,356,
247,38.3,-132,357,
221,44.0,-98,358,
215,41.2,-43,359,
207,41.1,-10,360,
224,44.2,45,361,
248,38.2,79,362,
232,39.4,99,363,
210,42.9,133,364,
238,42.4,188,365,
234,40.0,221,366,
233,37.6,242,367,
212,52.4,242,368,
241,50.0,221,369,
237,47.6,188,370,
232,47.1,133,371,
227,50.6,99,372,
244,51.8,79,373,
222,45.8,45,374,
234,48.9,-10,375,
248,48.8,-43,376,
228,46.0,-98,377,
241,51.7,-132,378,
236,50.7,-152,379,
213,46.9,-186,380,
248,47.8,-241,381,
244,54.6,-220,382,
242,55.5,-207,383,
218,59.3,-165,384,
249,58.4,-119,385,
242,56.4,-77,386,
213,53.6,-64,387,
240,53.5,11,388,
235,56.6,24,389,
231,58.2,66,390,
230,59.5,112,391,
237,55.3,154,392,
235,54.8,167,393,
243,60.0,209,394,
232,62.4,201,395,
238,67.2,146,396,
247,63.0,120,397,
243,64.2,58,398,
247,65.9,32,399,
217,61.2,-22,400,
235,61.3,-30,401,
238,66.0,-85,402,
234,64.1,-111,403,
211,63.1,-173,404,
239,67.0,-199,405,
228,74.7,-233,406,
245,67.8,-228,407,
245,71.7,-144,408,
243,70.8,-140,409,
249,68.8,-56,410,
247,73.7,-51,411,
237,73.6,-2,412,
246,69.0,3,413,
223,70.6,87,414,
230,71.9,91,415,
229,67.7,175,416,
247,74.8,180,417,
227,72.4,229,418,
247,70.1,234,419,
236,80.1,196,420,
210,75.4,141,421,
236,79.6,125,422,
245,78.3,53,423,
226,76.6,37,424,
245,81.4,-18,425,
229,81.2,-35,426,
242,76.5,-90,427,
244,78.4,-106,428,
235,79.4,-178,429,
239,75.5,-194,430,
233,87.9,-215,431,
205,87.1,-212,432,
240,83.2,-160,433,
238,84.1,-124,434,
224,86.1,-72,435,
232,88.9,-69,436,
245,89.0,16,437,
236,86.0,19,438,
233,84.3,71,439,
243,83.0,107,440,
236,87.2,159,441,
233,87.8,162,442,
221,82.5,213,443,
227,90.1,247,444,
218,92.5,217,445,
241,94.9,193,446,
250,95.4,128,447,
230,92.0,104,448,
234,90.7,74,449,
218,96.7,50,450,
239,93.6,-14,451,
235,93.8,-39,452,
236,96.5,-103,453,
242,90.8,-127,454,
228,91.8,-157,455,
245,95.6,-181,456,
248,94.7,-245,457,
232,100.3,-236,458,
234,99.5,-191,459,
243,103.2,-148,460,
