r_xy_mm,phi_deg,z_mm,spiral,order_idx
249,93.3,254,reverse,234
253,96.7,257,forward,235
238,92.0,297,forward,236
254,90.4,318,reverse,237
251,95.1,358,reverse,238
235,94.9,362,forward,239
254,90.1,402,forward,240
240,92.2,423,reverse,241
242,96.9,463,reverse,242
263,93.1,467,forward,243
263,100.7,492,forward,244
264,104.6,439,reverse,245
239,97.8,427,forward,246
235,99.9,399,reverse,247
259,102.5,387,forward,248
240,102.8,334,reverse,249
263,99.6,322,forward,250
241,98.1,294,reverse,251
258,104.4,282,forward,252
242,101.0,229,reverse,253
256,101.4,217,forward,254
262,103.9,164,reverse,255
248,98.5,152,forward,256
260,99.2,124,reverse,257
241,103.2,112,forward,258
250,102.1,59,reverse,259
263,100.3,47,forward,260
263,105.0,7,forward,261
105,105.0,14,forward,262
246,109.8,34,reverse,263
236,108.0,72,forward,264
248,106.8,99,reverse,265
253,110.9,137,forward,266
243,111.6,139,reverse,267
254,106.2,177,forward,268
260,108.7,204,reverse,269
240,109.1,242,forward,270
252,105.7,269,reverse,271
246,112.0,307,forward,272
247,110.5,309,reverse,273
241,107.3,347,forward,274
254,107.5,374,reverse,275
249,110.2,412,forward,276
238,112.3,414,reverse,277
250,105.5,452,forward,278
242,109.3,479,reverse,279
213,112.7,490,forward,280
118,117.4,485,reverse,281
254,113.1,476,forward,282
242,117.0,454,reverse,283
256,117.9,436,forward,284
254,119.9,389,reverse,285
243,114.9,371,forward,286
239,115.2,349,reverse,287
254,119.7,331,forward,288
245,118.1,284,reverse,289
256,116.8,267,forward,290
251,113.4,244,reverse,291
248,113.8,202,forward,292
251,116.3,179,reverse,293
260,118.6,162,forward,294
239,119.2,114,reverse,295
260,115.6,97,forward,296
244,114.5,74,reverse,297
245,112.7,32,forward,298
216,112.7,14,forward,299
262,117.4,9,reverse,300
254,125.1,17,forward,301
253,122.2,50,reverse,302
237,120.4,57,forward,303
262,126.9,90,reverse,304
247,123.3,121,forward,305
264,124.0,154,reverse,306
242,126.2,186,forward,307
249,121.1,219,reverse,308
252,121.5,226,forward,309
235,125.8,259,reverse,310
251,124.4,291,forward,311
250,122.9,324,reverse,312
252,127.3,356,forward,313
238,122.6,396,forward,314
256,124.7,429,reverse,315
259,125.5,461,forward,316
251,121.7,494,reverse,317
154,125.1,495,forward,318
235,133.2,486,forward,319
235,129.4,469,reverse,320
