10.00	-3.96	0.00
10.59	-3.48	0.00
11.22	-3.04	0.00
11.89	-2.64	0.00
12.59	-2.29	0.00
13.34	-1.97	0.00
14.13	-1.68	0.00
14.96	-1.44	0.00
15.85	-1.22	0.00
16.79	-1.02	0.00
17.78	-0.85	0.00
18.84	-0.70	0.00
19.95	-0.58	0.00
21.13	-0.46	0.00
22.39	-0.36	0.00
23.71	-0.28	0.00
25.12	-0.20	0.00
26.61	-0.14	0.00
28.18	-0.08	0.00
29.85	-0.03	0.00
31.62	0.01	0.00
33.50	0.05	0.00
35.48	0.09	0.00
37.58	0.12	0.00
39.81	0.14	0.00
42.17	0.16	0.00
44.67	0.18	0.00
47.32	0.20	0.00
50.12	0.22	0.00
53.09	0.23	0.00
56.23	0.24	0.00
59.57	0.25	0.00
63.10	0.26	0.00
66.83	0.27	0.00
70.79	0.28	0.00
74.99	0.29	0.00
79.43	0.29	0.00
84.14	0.29	0.00
89.13	0.24	0.00
94.41	0.19	0.00
100.0	0.18	0.00
105.9	0.15	0.00
112.2	0.13	0.00
118.9	0.13	0.00
125.9	0.15	0.00
133.4	0.19	0.00
141.3	0.19	0.00
149.6	0.20	0.00
158.5	0.21	0.00
167.9	0.20	0.00
177.8	0.20	0.00
188.4	0.18	0.00
199.5	0.15	0.00
211.3	0.14	0.00
223.9	0.13	0.00
237.1	0.12	0.00
251.2	0.12	0.00
266.1	0.10	0.00
281.8	0.03	0.00
298.5	0.00	0.00
316.2	0.03	0.00
335.0	0.06	0.00
354.8	0.06	0.00
375.8	0.05	0.00
398.1	0.03	0.00
421.7	0.02	0.00
446.7	0.01	0.00
473.2	0.03	0.00
501.2	0.08	0.00
530.9	0.11	0.00
562.3	0.09	0.00
595.7	0.04	0.00
631.0	0.01	0.00
668.3	0.01	0.00
707.9	0.02	0.00
749.9	0.01	0.00
794.3	0.00	0.00
841.4	0.00	0.00
891.3	0.01	0.00
944.1	0.03	0.00
1000	0.04	0.00
1059	-0.02	0.00
1122	-0.07	0.00
1189	-0.07	0.00
1259	-0.06	0.00
1334	-0.06	0.00
1413	-0.05	0.00
1496	-0.02	0.00
1585	0.02	0.00
1679	0.06	0.00
1778	0.06	0.00
1884	0.03	0.00
1995	-0.01	0.00
2113	-0.07	0.00
2239	-0.15	0.00
2371	-0.20	0.00
2512	-0.15	0.00
2661	-0.01	0.00
2818	0.13	0.00
2985	0.22	0.00
3162	0.27	0.00
3350	0.29	0.00
3548	0.38	0.00
3758	0.46	0.00
3981	0.41	0.00
4217	0.35	0.00
4467	0.39	0.00
4732	0.48	0.00
5012	0.51	0.00
5309	0.53	0.00
5623	0.69	0.00
5957	0.95	0.00
6310	1.16	0.00
6683	1.24	0.00
7079	1.18	0.00
7499	1.15	0.00
7943	1.30	0.00
8414	1.56	0.00
8913	1.85	0.00
9441	2.06	0.00
10000	2.01	0.00
10593	2.00	0.00
11220	2.38	0.00
11885	2.77	0.00
12589	2.81	0.00
13335	2.80	0.00
14125	3.06	0.00
14962	3.28	0.00
15849	3.33	0.00
16788	3.61	0.00
17783	3.68	0.00
18836	3.31	0.00
19953	3.13	0.00
21135	3.04	0.00
